effort,condition,entity_exact_f1,relation_exact_f1
high,S0,0.17644424540976267,0.0263705759888966
max,S0,0.1649954421148587,0.03129445234708393
high,G0,0.8309178743961352,0.5722248026010218
max,G0,0.8780336029869321,0.5423128046078866
high,Gstar,0.8521412941544232,0.6529147982062781
max,Gstar,0.8663033023404937,0.6538285190279688
