contrast,condition,metric,difference,ci95_lower,ci95_upper,replicates,seed,unit,interval
max - high,S0,entity_exact,-0.011448803294903942,-0.03501520479281682,0.012486995416400977,10000,20263804,report,percentile 95%
max - high,S0,relation_exact,0.004923876358187324,-0.0055983638950734054,0.016759829982254282,10000,20263805,report,percentile 95%
max - high,G0,entity_exact,0.047115728590796935,0.027478242478249246,0.06767949189253865,10000,20263814,report,percentile 95%
max - high,G0,relation_exact,-0.029911997993135264,-0.067801998729006,0.011058921569690749,10000,20263815,report,percentile 95%
max - high,Gstar,entity_exact,0.014162008186070496,-0.006042604443026402,0.03806753293054372,10000,20263824,report,percentile 95%
max - high,Gstar,relation_exact,0.0009137208216907222,-0.030043671467634397,0.033422312383763635,10000,20263825,report,percentile 95%
